HOST_COMMON_NAME,OBJID,RA,DEC,D_PROJ,DELTA_HRV,R,R_ABS,GR,MU_EFF,LOG_STELLAR_MASS,H_ALPHA,Z_SOURCE,INTERNAL_HOSTID,INTERNAL_OBJID
UGC00903,LS-432563-224,20.7772,17.8916,290,-1,17.06,-15.9,0.26,23.57,7.89,Y,ALFALF,nsa129237,4325630000000000224
UGC00903,LS-429811-3398,20.2850,17.6022,105,-78,17.26,-15.7,0.45,24.04,8.02,Y,MMT,nsa129237,4298110000000003398
UGC00903,LS-431187-1672,20.3280,17.7539,133,-70,18.13,-14.8,0.33,24.24,7.54,Y,MMT,nsa129237,4311870000000001672
UGC00903,LS-429812-2469,20.5362,17.5279,70,50,18.93,-14.0,0.21,23.90,7.08,Y,MMT,nsa129237,4298120000000002469
NGC1015,DES-313240666,39.9254,-1.4187,252,-9,16.91,-15.9,0.42,21.04,8.09,Y,MMT,nsa132339,313240666
NGC1015,DES-310691517,39.5360,-1.3965,50,-119,20.24,-12.6,0.19,23.82,6.51,Y,AAT,nsa132339,310691517
NGC1309,DES-353757883,50.4652,-15.7104,189,-106,14.83,-17.9,0.36,22.76,8.80,Y,6dF,nsa133355,353757883
NGC1309,DES-350665706,50.1913,-15.5749,220,-244,17.50,-15.2,0.37,22.03,7.74,Y,AAT,nsa133355,350665706
NGC1309,DES-353742769,50.9464,-15.4004,242,16,17.74,-15.0,0.51,22.33,7.79,N,AAT,nsa133355,353742769
PGC013646,DES-371747881,55.3397,-13.1446,248,55,15.97,-16.6,0.33,20.75,8.24,Y,AAT,nsa133549,371747881
PGC013646,DES-373383928,55.5682,-13.2170,189,-127,16.57,-16.0,0.31,21.14,7.97,Y,AAT,nsa133549,373383928
PGC013646,DES-373393030,55.5841,-13.4218,292,-175,17.44,-15.1,0.37,21.95,7.69,Y,AAT,nsa133549,373393030
ESO121-026,DES-467669052,95.7756,-59.5691,153,32,15.81,-16.9,0.22,21.76,8.26,Y,6dF,pgc18880,467669052
ESO121-026,DES-467510764,95.7327,-59.6675,108,74,19.20,-13.5,0.25,23.19,6.94,Y,AAT,pgc18880,467510764
NGC2543,NSA-162577,123.2432,36.1984,37,18,15.34,-17.6,0.30,21.42,8.61,Y,SDSS,nsa33446,162577
NGC2543,NSA-162596,123.6499,36.4344,246,-8,15.96,-16.9,0.33,24.96,8.39,Y,SDSS,nsa33446,162596
UGC04906,NSA-78947,139.4972,52.7426,160,65,14.41,-18.4,0.42,22.07,9.06,Y,SDSS,nsa16235,78947
UGC04906,NSA-648311,139.1897,53.4429,296,-45,14.42,-18.4,0.21,19.47,8.84,Y,SDSS,nsa16235,648311
UGC04906,NSA-78956,139.4444,53.2935,189,-22,15.39,-17.4,0.29,22.33,8.54,Y,SDSS,nsa16235,78956
UGC04906,LS-595052-1698,139.2389,53.0101,68,-209,16.69,-16.1,0.43,22.66,8.17,Y,MMT,nsa16235,5950520000000001698
UGC04906,LS-595052-1940,139.4253,53.0271,21,-96,17.70,-15.1,0.42,23.15,7.75,Y,MMT,nsa16235,5950520000000001940
UGC04906,LS-595921-1395,139.3098,53.2298,154,259,18.74,-14.1,0.42,24.03,7.34,Y,MMT+,nsa16235,5959210000000001395
NGC2962,NSA-192008,144.8430,4.9524,264,-87,15.50,-17.2,0.34,20.69,8.51,Y,SDSS+,nsa157374,192008
NGC2962,NSA-191990,145.2345,5.0449,73,-108,16.17,-16.5,0.25,23.64,8.15,Y,ALFALF,nsa157374,191990
NGC2962,NSA-82770,145.0880,4.7351,274,5,17.38,-15.3,0.20,22.66,7.61,Y,SDSS+,nsa157374,82770
NGC2962,LS-361164-2394,145.1227,5.2311,73,160,18.60,-14.1,0.48,24.47,7.42,Y,PAL,nsa157374,3611640000000002394
NGC2967,NSA-195,145.3209,0.7711,248,65,16.85,-15.5,0.33,20.64,7.83,Y,SDSS,nsa32,195
NGC2967,LS-330948-4542,145.1122,0.0426,259,-5,21.68,-10.7,0.10,24.86,5.65,Y,ALFALF,nsa32,3309480000000004542
NGC3689,LS-474605-827,172.0746,25.6697,18,240,17.50,-15.5,0.60,23.73,8.11,N,MMT,nsa139467,4746050000000000827
NGC3689,LS-473304-3777,172.0184,25.5538,76,-168,17.60,-15.4,0.47,24.48,7.93,N,PAL,nsa139467,4733040000000003777
NGC3976,NSA-328500,179.0103,6.6779,46,-16,14.97,-17.8,0.48,21.71,8.91,N,SDSS,nsa140458,328500
NGC3976,NSA-328502,179.2801,6.6755,186,-10,16.97,-15.8,0.40,23.26,8.01,Y,SDSS+,nsa140458,328502
NGC4158,NSA-542307,182.9907,20.0279,150,-37,14.39,-18.4,0.36,20.20,9.02,Y,SDSS+,nsa161174,542307
